iter	RMSE
0	1.539434817
1	1.486614792
2	1.438106889
3	1.398205776
4	1.362116268
5	1.323648843
6	1.289307131
7	1.26181028
8	1.23658162
9	1.204267577
10	1.180380424
11	1.155828189
12	1.132733229
13	1.111763107
14	1.095395298
15	1.078992707
16	1.060863676
17	1.047208825
18	1.031400383
19	1.020713778
20	1.010937658
21	0.9978536328
22	0.9877619241
23	0.9808104666
24	0.9686305368
25	0.9612649371
26	0.9546034182
27	0.9494296143
28	0.9452628703
29	0.9412788424
30	0.9379169164
31	0.935338553
32	0.9250383051
33	0.9186254173
34	0.9153540779
35	0.912923868
36	0.9075384023
37	0.8982965533
38	0.8962332049
39	0.8870050451
40	0.8840751339
41	0.8825264973
42	0.8687153672
43	0.855910848
44	0.8488445444
45	0.8380124494
46	0.833097704
47	0.825632658
48	0.8196257057
49	0.8182813005
50	0.8164242523
51	0.815426009
52	0.8141587227
53	0.8003913247
54	0.7989756467
55	0.7895595513
56	0.7851489656
57	0.7838904931
58	0.7758269777
59	0.7666358843
60	0.7616015012
61	0.7578280642
62	0.7570207707
63	0.7535632996
64	0.7440432294
65	0.7433119876
66	0.7424123465
67	0.7418867232
68	0.7388172412
69	0.7294504665
70	0.7252054398
71	0.7199899476
72	0.7128986996
73	0.7062326848
74	0.7033623289
75	0.6982492757
76	0.6961264112
77	0.6954145384
78	0.6885901729
79	0.6881636071
80	0.6821485876
81	0.6764135599
82	0.6702276677
83	0.6684684329
84	0.666672429
85	0.6611766982
86	0.6576477534
87	0.6498360139
88	0.6472644931
89	0.6457697242
90	0.6426049856
91	0.6400933576
92	0.6368765167
93	0.6341150197
94	0.6329564074
95	0.6269136938
96	0.626197954
97	0.6216361658
98	0.6197612279
99	0.6187277184
100	0.617866999
101	0.6146508821
102	0.6081644834
103	0.607518177
104	0.6033608683
105	0.5994429841
106	0.5986162055
107	0.5979890389
108	0.595389674
109	0.5911263595
110	0.5861842052
111	0.585686772
112	0.5813640769
113	0.580108772
114	0.5790831982
115	0.5748271535
116	0.5711437541
117	0.5688422676
118	0.5669185081
119	0.5655474064
120	0.563200028
121	0.5628241933
122	0.5591338291
123	0.5586960361
124	0.555447844
125	0.5527181582
126	0.5500354873
127	0.5469571518
128	0.546568275
129	0.5435383238
130	0.541473714
131	0.5411143958
132	0.5392434603
133	0.5364170904
134	0.5341056016
135	0.5317235039
136	0.5289002396
137	0.5260620115
138	0.5240321678
139	0.5234959922
140	0.5221691746
141	0.5195119175
142	0.5178801016
143	0.5163664906
144	0.5151390208
145	0.5124734507
146	0.510685372
147	0.5097315455
148	0.5060240449
149	0.5054803987
150	0.5044869611
151	0.502641028
152	0.5000189722
153	0.4965875306
154	0.4935445302
155	0.4913304358
156	0.4901052321
157	0.4893160979
158	0.487018327
159	0.485346277
160	0.4835180813
161	0.4817786885
162	0.4801977288
163	0.4763262453
164	0.473953357
165	0.473510076
166	0.4692170702
167	0.4661677789
168	0.4637335543
169	0.461688873
170	0.460289566
171	0.4585140285
172	0.4581765788
173	0.4564856418
174	0.455708329
175	0.4535823524
176	0.4530491925
177	0.4504858379
178	0.4488397851
179	0.4455628554
180	0.444505545
181	0.4427408504
182	0.4389620445
183	0.4367228403
184	0.433393756
185	0.4317860846
186	0.4287819079
187	0.4278581565
188	0.4274190109
189	0.4271576458
190	0.4265886421
191	0.4263187727
192	0.4244996522
193	0.4229072608
194	0.4201609655
195	0.4188786379
196	0.4184958188
197	0.4176491423
198	0.4172527485
199	0.4147818762
200	0.4131573191
201	0.4109181061
202	0.4095167852
203	0.4087213176
204	0.4085048023
205	0.4070340267
206	0.404851545
207	0.4027639468
208	0.4008325064
209	0.4002691902
210	0.399537322
211	0.3974775619
212	0.3972164437
213	0.3968484794
214	0.3955746649
215	0.3942671736
216	0.3939395347
217	0.3926696695
218	0.3916947539
219	0.3907760629
220	0.3893679568
221	0.3886298756
222	0.3881891793
223	0.3876264662
224	0.3873773725
225	0.3862596249
226	0.3841601863
227	0.382891883
228	0.3809484497
229	0.3801551376
230	0.3784442376
231	0.3767359575
232	0.375696596
233	0.3748937609
234	0.3732866775
235	0.3718282785
236	0.3712937238
237	0.3699717333
238	0.3683058134
239	0.366535174
240	0.3647730787
241	0.3632184548
242	0.3615628422
243	0.3601042757
244	0.3590663503
245	0.3588580778
246	0.3576263526
247	0.356376397
248	0.3557424875
249	0.3551681903
250	0.354009854
251	0.353135279
252	0.3526998347
253	0.352372938
254	0.3514114537
255	0.3500249463
256	0.3485370829
257	0.3481980536
258	0.3472067954
259	0.3457358056
260	0.3444321014
261	0.3438882164
262	0.3428115794
263	0.3415990451
264	0.3412324015
265	0.3410201817
266	0.3396477193
267	0.3392149533
268	0.3383902168
269	0.3372499652
270	0.3356867374
271	0.3343367394
272	0.3332689468
273	0.3320985817
274	0.3309045167
275	0.3299905611
276	0.3294884664
277	0.328269942
278	0.3270364821
279	0.3260943774
280	0.3248043564
281	0.3245476818
282	0.3233353549
283	0.3226097569
284	0.3217569077
285	0.3205433041
286	0.3197938746
287	0.3191417383
288	0.3187221767
289	0.3183699694
290	0.3181853182
291	0.3178012763
292	0.3168267115
293	0.3159994451
294	0.3148756985
295	0.3136716455
296	0.3124657188
297	0.3117708269
298	0.3114325204
299	0.3111619403
300	0.3108979244
301	0.3097607855
302	0.3087186592
303	0.3084097755
304	0.3071370112
305	0.3055983003
306	0.3050423265
307	0.3043670717
308	0.3038180875
309	0.3026195742
310	0.3020410962
311	0.3015254105
312	0.3010683417
313	0.3006077793
314	0.2994409116
315	0.2992122497
316	0.2982900623
317	0.2972954238
318	0.2963038573
319	0.2953159269
320	0.2947630241
321	0.2943450374
322	0.293486831
323	0.2923872456
324	0.2920714591
325	0.2916555635
326	0.2906087802
327	0.2895345538
328	0.2887272757
329	0.2883434804
330	0.288131238
331	0.2872175295
332	0.2866709094
333	0.2859026301
334	0.2855116929
335	0.2852626019
336	0.2840689754
337	0.2833685734
338	0.2822982095
339	0.2816243813
340	0.2807330385
341	0.2803629329
342	0.2794227944
343	0.2783033607
344	0.2780193414
345	0.2770382911
346	0.2759247924
347	0.2749498214
348	0.274053459
349	0.2736922021
350	0.273003398
351	0.272174545
352	0.2719188808
353	0.2715621407
354	0.2712959673
355	0.2704786655
356	0.2696420679
357	0.2688993692
358	0.2681480197
359	0.2674534441
360	0.2667524177
361	0.266178815
362	0.2659804324
363	0.2651463868
364	0.2646817937
365	0.2644716062
366	0.2642477895
367	0.2635862841
368	0.2631494884
369	0.262448468
370	0.2615647193
371	0.2611783908
372	0.2602020347
373	0.2594353125
374	0.2591048609
375	0.2588700696
376	0.2587220696
377	0.258058331
378	0.2572983748
379	0.2565088329
380	0.2559072346
381	0.2552804403
382	0.2545875735
383	0.2540164754
384	0.2533237436
385	0.2526964817
386	0.2525088135
387	0.2522519958
388	0.251651585
389	0.2513661665
390	0.2511783824
391	0.2505307231
392	0.2498998698
393	0.2496364855
394	0.2487692333
395	0.2480601861
396	0.2476231849
397	0.2471575487
398	0.2466206177
399	0.2462487533
400	0.2459642328
401	0.2451835936
402	0.2443769229
403	0.2437312374
404	0.2430350795
405	0.2424169272
406	0.2421008597
407	0.2418960054
408	0.2415487491
409	0.2411870092
410	0.2408622354
411	0.2404584628
412	0.2399148413
413	0.2397058994
414	0.2391183735
415	0.2384026929
416	0.2378087542
417	0.2374504174
418	0.2371004918
419	0.236857254
420	0.2367094844
421	0.2364826665
422	0.2362875457
423	0.2356549302
424	0.2350828254
425	0.2347043466
426	0.2341100778
427	0.233534196
428	0.233023558
429	0.2326039474
430	0.232327241
431	0.2320747138
432	0.2316937897
433	0.2311047867
434	0.2306580399
435	0.2303572101
436	0.2297009244
437	0.229243314
438	0.2290918409
439	0.228882246
440	0.2287087932
441	0.2280706243
442	0.2274121065
443	0.2272225345
444	0.2266745585
445	0.226447456
446	0.2262039919
447	0.2255922624
448	0.225156232
449	0.2250867559
450	0.224844871
451	0.2246934035
452	0.2242329408
453	0.2236863871
454	0.2234178823
455	0.2232112619
456	0.2227866366
457	0.2222626111
458	0.222085805
459	0.2215532159
460	0.2210079755
461	0.2208511676
462	0.2204164083
463	0.2198417914
464	0.21923338
465	0.2186572131
466	0.2184373856
467	0.2179460755
468	0.2177572721
469	0.2173031662
470	0.2171599557
471	0.216594581
472	0.2162283352
473	0.2159527953
474	0.2157940989
475	0.2156698137
476	0.2152948384
477	0.2148579242
478	0.2143708837
479	0.2138517205
480	0.2132271599
481	0.2128385475
482	0.2123528092
483	0.2119585211
484	0.2118538428
485	0.2116177744
486	0.2112379798
487	0.2109675011
488	0.2106035377
489	0.2101861888
490	0.2097362122
491	0.20926417
492	0.2087960573
493	0.208326909
494	0.2079430372
495	0.2073043793
496	0.207019765
497	0.2068742338
498	0.2064517015
499	0.2062409979
500	0.2057745215
501	0.2054196672
502	0.2051336964
503	0.2047555705
504	0.2045653638
505	0.2043382117
506	0.2041502693
507	0.2039940741
508	0.2038136169
509	0.2036119774
510	0.2033169654
511	0.20300563
512	0.2028222904
513	0.2027017277
514	0.2022315364
515	0.2020612347
516	0.20191496
517	0.2017798246
518	0.2013457105
519	0.2009509814
520	0.2006218141
521	0.2003409911
522	0.2002067676
523	0.1999620944
524	0.1996931384
525	0.1994720379
526	0.199291497
527	0.1990819575
528	0.1988609028
529	0.198670349
530	0.1980389981
531	0.1977457083
532	0.1974084599
533	0.1972959319
534	0.1971387278
535	0.1968983588
536	0.1966764514
537	0.1962088492
538	0.1960706259
539	0.1959274907
540	0.1958484425
541	0.1953952681
542	0.1949005661
543	0.194449703
544	0.194111682
545	0.1938656184
546	0.1933588271
547	0.192913666
548	0.1926150794
549	0.1921591976
550	0.1919317243
551	0.1918128642
552	0.1914779531
553	0.1912245457
554	0.1910604254
555	0.1906060062
556	0.1904963123
557	0.1903655289
558	0.1900274007
559	0.189367226
560	0.1890119936
561	0.1887816631
562	0.188547857
563	0.1882361759
564	0.1881148425
565	0.1879542115
566	0.1878364831
567	0.1876356533
568	0.1874667784
569	0.1870894817
570	0.1866869208
571	0.18620077
572	0.185573358
573	0.1850367551
574	0.1847856814
575	0.1843986719
576	0.1839792332
577	0.18380479
578	0.1836483464
579	0.1835249327
580	0.183245498
581	0.1829512318
582	0.1828210282
583	0.1824311835
584	0.1818656005
585	0.1815254017
586	0.1811733597
587	0.1809693221
588	0.1808457904
589	0.1806625767
590	0.180340645
591	0.1802224124
592	0.1799675105
593	0.1796183944
594	0.1793887159
595	0.1792084894
596	0.1790757494
597	0.1789298249
598	0.1787227592
599	0.1785935956
600	0.1783437825
601	0.1778754262
602	0.1777062935
603	0.177287709
604	0.1767414818
605	0.1764028283
606	0.1762586148
607	0.1758444501
608	0.1756771346
609	0.1753686968
610	0.1748737216
611	0.1744614654
612	0.1741621503
613	0.1737686441
614	0.1733702141
615	0.1729178868
616	0.1726828064
617	0.1726286903
618	0.172389867
619	0.1722239543
620	0.1720820419
621	0.1718635447
622	0.171532281
623	0.1712386928
624	0.1711319011
625	0.170931211
626	0.1707981044
627	0.1705928136
628	0.1705051021
629	0.1702828652
630	0.1701609909
631	0.169764501
632	0.1693952383
633	0.1690717849
634	0.168784448
635	0.1684953373
636	0.1682232117
637	0.1678871021
638	0.1676960466
639	0.1674510988
640	0.167196161
641	0.1668990883
642	0.1666259182
643	0.166400371
644	0.1662715041
645	0.1661012717
646	0.1660052373
647	0.1658226715
648	0.165518657
649	0.1652792261
650	0.1649898331
