iter	Passed	Remaining
0	52	52806
1	64	32432
2	77	25862
3	91	22697
4	104	20711
5	116	19306
6	129	18302
7	141	17542
8	154	16989
9	167	16549
10	179	16161
11	192	15861
12	205	15599
13	219	15428
14	230	15164
15	243	14973
16	256	14846
17	269	14694
18	281	14519
19	293	14384
20	306	14306
21	319	14207
22	332	14126
23	345	14051
24	359	14027
25	372	13968
26	384	13869
27	398	13844
28	411	13762
29	423	13700
30	436	13644
31	450	13619
32	461	13536
33	474	13488
34	487	13453
35	501	13416
36	513	13371
37	525	13311
38	539	13289
39	552	13257
40	565	13216
41	578	13194
42	592	13175
43	605	13147
44	618	13121
45	630	13078
46	643	13052
47	657	13048
48	671	13038
49	684	13008
50	696	12965
51	709	12934
52	722	12910
53	735	12886
54	748	12852
55	762	12849
56	774	12809
57	785	12764
58	795	12692
59	805	12621
60	814	12543
61	823	12459
62	833	12395
63	842	12318
64	851	12253
65	860	12182
66	869	12110
67	878	12039
68	887	11979
69	897	11920
70	906	11862
71	915	11796
72	924	11743
73	933	11685
74	943	11638
75	952	11584
76	962	11535
77	971	11485
78	981	11446
79	991	11398
80	1000	11352
81	1010	11311
82	1019	11258
83	1027	11206
84	1036	11159
85	1045	11111
86	1054	11070
87	1064	11033
88	1074	10999
89	1093	11051
90	1101	11006
91	1111	10968
92	1120	10924
93	1129	10885
94	1138	10843
95	1148	10813
96	1157	10778
97	1166	10739
98	1175	10702
99	1184	10661
100	1195	10638
101	1204	10600
102	1213	10565
103	1223	10539
104	1231	10500
105	1240	10466
106	1250	10439
107	1260	10408
108	1271	10391
109	1280	10362
110	1290	10335
111	1298	10298
112	1308	10273
113	1317	10239
114	1326	10209
115	1335	10179
116	1346	10165
117	1356	10136
118	1366	10118
119	1377	10104
120	1388	10088
121	1399	10074
122	1410	10056
123	1421	10040
124	1432	10024
125	1444	10019
126	1455	10004
127	1466	9990
128	1477	9973
129	1488	9958
130	1499	9945
131	1511	9937
132	1522	9921
133	1533	9908
134	1543	9887
135	1554	9876
136	1565	9859
137	1576	9848
138	1586	9829
139	1597	9814
140	1609	9802
141	1618	9779
142	1628	9757
143	1638	9738
144	1650	9731
145	1661	9715
146	1671	9698
147	1682	9684
148	1693	9670
149	1704	9658
150	1715	9645
151	1727	9635
152	1737	9620
153	1750	9615
154	1760	9600
155	1774	9599
156	1784	9581
157	1794	9560
158	1806	9554
159	1817	9542
160	1829	9536
161	1840	9522
162	1851	9509
163	1864	9504
164	1875	9490
165	1885	9475
166	1896	9458
167	1907	9448
168	1920	9441
169	1929	9421
170	1940	9408
171	1951	9396
172	1962	9381
173	1972	9362
174	1982	9344
175	1993	9334
176	2003	9318
177	2014	9303
178	2024	9286
179	2036	9276
180	2048	9267
181	2059	9255
182	2071	9250
183	2084	9243
184	2095	9230
185	2106	9217
186	2117	9206
187	2129	9196
188	2140	9185
189	2152	9176
190	2162	9159
191	2172	9140
192	2182	9126
193	2193	9114
194	2204	9101
195	2216	9090
196	2226	9075
197	2236	9059
198	2246	9041
199	2255	9020
200	2264	8999
201	2273	8983
202	2284	8969
203	2294	8952
204	2302	8930
205	2312	8912
206	2320	8889
207	2328	8868
208	2336	8844
209	2345	8823
210	2353	8799
211	2363	8783
212	2371	8762
213	2379	8738
214	2388	8719
215	2396	8696
216	2404	8676
217	2413	8657
218	2422	8640
219	2430	8618
220	2438	8597
221	2447	8575
222	2455	8555
223	2463	8534
224	2471	8513
225	2479	8492
226	2487	8471
227	2496	8452
228	2505	8434
229	2514	8417
230	2522	8396
231	2530	8376
232	2539	8360
233	2548	8341
234	2556	8322
235	2564	8302
236	2572	8283
237	2580	8262
238	2588	8243
239	2596	8223
240	2605	8204
241	2612	8183
242	2620	8164
243	2629	8145
244	2638	8131
245	2646	8111
246	2654	8092
247	2662	8073
248	2671	8057
249	2679	8039
250	2688	8023
251	2697	8006
252	2705	7989
253	2714	7971
254	2723	7955
255	2731	7937
256	2739	7919
257	2746	7900
258	2755	7882
259	2762	7863
260	2771	7846
261	2779	7829
262	2787	7811
263	2795	7794
264	2804	7779
265	2813	7762
266	2821	7745
267	2830	7730
268	2838	7714
269	2846	7696
270	2855	7680
271	2863	7664
272	2871	7647
273	2879	7630
274	2888	7615
275	2897	7601
276	2905	7584
277	2914	7569
278	2922	7553
279	2930	7536
280	2938	7519
281	2946	7503
282	2954	7486
283	2963	7470
284	2971	7455
285	2979	7438
286	2988	7423
287	2997	7409
288	3005	7393
289	3013	7377
290	3021	7361
291	3030	7347
292	3037	7330
293	3046	7316
294	3054	7300
295	3063	7285
296	3071	7270
297	3079	7254
298	3087	7238
299	3095	7222
300	3103	7207
301	3112	7193
302	3121	7179
303	3131	7168
304	3140	7155
305	3148	7141
306	3157	7126
307	3166	7113
308	3174	7099
309	3182	7084
310	3191	7070
311	3199	7055
312	3207	7040
313	3216	7026
314	3223	7010
315	3232	6996
316	3240	6980
317	3248	6966
318	3256	6952
319	3265	6939
320	3273	6925
321	3283	6912
322	3291	6899
323	3300	6885
324	3308	6871
325	3317	6858
326	3325	6844
327	3333	6829
328	3342	6817
329	3350	6803
330	3359	6789
331	3367	6776
332	3376	6763
333	3385	6751
334	3394	6738
335	3402	6723
336	3410	6709
337	3419	6696
338	3427	6682
339	3436	6671
340	3446	6660
341	3455	6648
342	3463	6633
343	3471	6619
344	3481	6609
345	3490	6597
346	3498	6583
347	3506	6569
348	3514	6556
349	3523	6543
350	3532	6531
351	3540	6518
352	3549	6505
353	3557	6492
354	3565	6478
355	3573	6465
356	3582	6452
357	3590	6439
358	3598	6425
359	3607	6412
360	3616	6401
361	3626	6392
362	3635	6379
363	3643	6365
364	3652	6353
365	3660	6340
366	3669	6328
367	3677	6315
368	3686	6303
369	3695	6291
370	3702	6278
371	3711	6265
372	3720	6253
373	3727	6239
374	3736	6227
375	3744	6214
376	3753	6202
377	3762	6191
378	3772	6180
379	3780	6167
380	3788	6154
381	3796	6141
382	3804	6129
383	3813	6116
384	3821	6104
385	3829	6091
386	3838	6079
387	3846	6066
388	3855	6055
389	3864	6044
390	3873	6032
391	3881	6019
392	3888	6006
393	3896	5993
394	3906	5982
395	3914	5970
396	3923	5958
397	3931	5946
398	3939	5934
399	3949	5924
400	3957	5911
401	3965	5898
402	3973	5885
403	3981	5873
404	3989	5861
405	3999	5851
406	4008	5839
407	4016	5827
408	4024	5815
409	4033	5804
410	4041	5791
411	4050	5780
412	4058	5768
413	4066	5756
414	4075	5744
415	4083	5732
416	4091	5719
417	4100	5709
418	4108	5696
419	4116	5685
420	4124	5673
421	4133	5661
422	4140	5648
423	4148	5636
424	4156	5623
425	4165	5612
426	4173	5600
427	4181	5588
428	4189	5576
429	4198	5565
430	4205	5552
431	4214	5541
432	4223	5530
433	4231	5518
434	4239	5506
435	4247	5494
436	4255	5483
437	4263	5470
438	4271	5458
439	4279	5446
440	4287	5435
441	4296	5423
442	4304	5412
443	4312	5400
444	4320	5389
445	4328	5377
446	4336	5365
447	4345	5353
448	4353	5341
449	4361	5330
450	4369	5318
451	4377	5307
452	4385	5295
453	4394	5285
454	4403	5274
455	4411	5262
456	4419	5251
457	4428	5240
458	4436	5229
459	4444	5217
460	4452	5205
461	4460	5194
462	4468	5182
463	4477	5172
464	4485	5160
465	4493	5149
466	4501	5137
467	4510	5126
468	4517	5115
469	4526	5104
470	4534	5092
471	4542	5081
472	4550	5070
473	4559	5059
474	4566	5047
475	4575	5036
476	4583	5025
477	4591	5014
478	4600	5003
479	4609	4993
480	4617	4981
481	4625	4970
482	4632	4958
483	4640	4947
484	4648	4935
485	4656	4924
486	4664	4913
487	4672	4901
488	4680	4891
489	4689	4880
490	4698	4870
491	4706	4859
492	4714	4848
493	4722	4837
494	4730	4826
495	4739	4815
496	4747	4804
497	4755	4793
498	4763	4783
499	4772	4772
500	4780	4761
501	4789	4751
502	4797	4740
503	4805	4729
504	4813	4717
505	4821	4707
506	4829	4696
507	4838	4686
508	4846	4675
509	4854	4663
510	4862	4652
511	4870	4642
512	4878	4631
513	4886	4620
514	4894	4609
515	4902	4598
516	4910	4587
517	4917	4576
518	4926	4565
519	4936	4556
520	4944	4546
521	4952	4535
522	4960	4524
523	4968	4513
524	4977	4503
525	4986	4493
526	4995	4483
527	5003	4472
528	5012	4463
529	5021	4452
530	5030	4442
531	5039	4433
532	5048	4423
533	5056	4412
534	5064	4401
